bus,p_nom,carrier,entry,exit,efficiency,start_up_cost,ramp_limit_up,ramp_limit_down,p_min_pu,min_up_time,min_down_time,var_om,p_nom_max,p_nom_min,invest_status
RO00,3794.1115595570736,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,3794.1115595570736,0.01,existing
RO00,1006.028148608093,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1006.028148608093,0.01,existing
RO00,81.49642968022272,CCGT,2033,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,81.49642968022272,0.01,existing
RS00,321.37906137184115,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,321.37906137184115,0.01,existing
SE01,38.43311808118081,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,38.43311808118081,0.01,existing
SE03,21.395756457564573,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,21.395756457564573,0.01,existing
SE03,71.31918819188192,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,71.31918819188192,0.01,existing
SE04,172.7509225092251,CCGT,2028,2030.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,172.7509225092251,0.01,existing
SI00,6.599999999999994,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,6.599999999999994,0.01,existing
SI00,69.48333333333333,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,69.48333333333333,0.01,existing
SI00,13.383333333333326,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,13.383333333333326,0.01,existing
SI00,1.6500000000000057,CCGT,2033,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1.6500000000000057,0.01,existing
SK00,304.75583906375954,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,304.75583906375954,0.01,existing
SK00,2.1017644073362476,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,2.1017644073362476,0.01,existing
UK00,12082.19893008324,CCGT,2028,2033.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,12082.19893008324,0.01,existing
UK00,1966.6126540671066,CCGT,2028,2035.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1966.6126540671066,0.01,existing
UK00,21672.986885491577,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,21672.986885491577,0.01,existing
UK00,181.50919359367253,CCGT,2030,inf,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,181.50919359367253,0.01,existing
UKNI,1402.355813112862,CCGT,2028,2036.0,0.5216666666666666,39.025,2.0,3.0000000000000004,0.43333333333333335,2.6666666666666665,2.6666666666666665,1.866666666666667,1402.355813112862,0.01,existing
AT00,56.536348949919216,OCGT,2028,2030.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,56.536348949919216,0.01,existing
AT00,217.58340064620353,OCGT,2028,2033.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,217.58340064620353,0.01,existing
AT00,30.170840064620336,OCGT,2028,2035.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,30.170840064620336,0.01,existing
AT00,312.3089660743134,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,312.3089660743134,0.01,existing
BE00,95.80382000647467,OCGT,2028,2030.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,95.80382000647467,0.01,existing
BE00,39.17372841010797,OCGT,2028,2033.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,39.17372841010797,0.01,existing
BE00,831.307752366081,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,831.307752366081,0.01,existing
BG00,328.6242424242424,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,328.6242424242424,0.01,existing
BG00,210.75454545454545,OCGT,2030,inf,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,210.75454545454545,0.01,existing
CY00,51.44242070932006,OCGT,2028,2033.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,51.44242070932006,0.01,existing
CY00,187.42750824010463,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,187.42750824010463,0.01,existing
